GMT +0,FIT 101,LIT 101,MV 101,P1_STATE,P101 Status,P102 Status,AIT 201,AIT 202,AIT 203,FIT 201,LS 201,LS 202,LSL 203,LSLL 203,MV201,P2_STATE,P201 Status,P202 Status,P203 Status,P204 Status,P205 Status,P206 Status,P207 Status,P208 Status,AIT 301,AIT 302,AIT 303,DPIT 301,FIT 301,LIT 301,MV 301,MV 302,MV 303,MV 304,P3_STATE,P301 Status,P302 Status,AIT 401,AIT 402,FIT 401,LIT 401,LS 401,P4_STATE,P401 Status,P402 Status,P403 Status,P404 Status,UV401,AIT 501,AIT 502,AIT 503,AIT 504,FIT 501,FIT 502,FIT 503,FIT 504,MV 501,MV 502,MV 503,MV 504,P5_STATE,P501 Status,P502 Status,PIT 501,PIT 502,PIT 503,FIT 601,LSH 601,LSH 602,LSH 603,LSL 601,LSL 602,LSL 603,P6 STATE,P601 Status,P602 Status,P603 Status,GMT +8,GMT_12hr,GMT_12hr_dt,Attack
2019-07-20 04:30:00+00:00,0.0,729.8658,1,3,2,1,142.527557,9.293002,198.077423,2.335437,Inactive,Inactive,Inactive,Inactive,2,2,1,1,2,1,2,1,1,1,8.522921,256.431274,143.158966,1.19085729,0.000512443,730.7021,1,1,1,1,99,1,1,0,87.9518051,0.7817402,1000.62805,Inactive,4,2,1,1,1,2,7.4896183,147.3981,1016.27789,46.0651131,0.781594455,0.3103625,0.6236277,0.2134324,2,2,1,1,12,2,1,167.601257,2.96350884,119.921173,0.000320379,Active,Active,Inactive,Inactive,Inactive,Active,2,1,1,1,2019-07-20 12:30:00+08:00,2019-07-20 12:30:00 PM,2019-07-20 12:30:00,0
2019-07-20 04:30:01+00:00,0.0,729.434,1,3,2,1,142.527557,9.293002,198.385025,2.335437,Inactive,Inactive,Inactive,Inactive,2,2,1,1,2,1,2,1,1,1,8.522921,256.431274,143.158966,1.19085729,0.000512443,730.902344,1,1,1,1,99,1,1,0,87.82363,0.782380462,1000.55115,Inactive,4,2,1,1,1,2,7.4896183,147.3981,1016.27789,45.7575,0.7822353,0.315101832,0.6236277,0.212984011,2,2,1,1,12,2,1,167.601257,2.96350884,119.921173,0.000320379,Active,Active,Inactive,Inactive,Inactive,Active,2,1,1,1,2019-07-20 12:30:01+08:00,2019-07-20 12:30:01 PM,2019-07-20 12:30:01,0
2019-07-20 04:30:04+00:00,0.0,727.7069,1,3,2,1,142.527557,9.289157,198.89772,2.335437,Inactive,Inactive,Inactive,Inactive,2,2,1,1,2,1,2,1,1,1,8.522921,256.431274,143.158966,1.19085729,0.000512443,732.7448,1,1,1,1,99,1,1,0,87.61856,0.781228,1000.39734,Inactive,4,2,1,1,1,2,7.4896183,147.090485,1016.27789,45.2191734,0.7837734,0.303445637,0.6236277,0.2140089,2,2,1,1,12,2,1,167.601257,2.96350884,119.921173,0.000320379,Active,Active,Inactive,Inactive,Inactive,Active,2,1,1,1,2019-07-20 12:30:04+08:00,2019-07-20 12:30:04 PM,2019-07-20 12:30:04,0
2019-07-20 04:30:05+00:00,0.0,727.157349,1,3,2,1,142.527557,9.289157,199.154068,2.33454013,Inactive,Inactive,Inactive,Inactive,2,2,1,1,2,1,2,1,1,1,8.527498,256.431274,143.158966,1.19085729,0.000512443,733.9865,1,1,1,1,99,1,1,0,87.61856,0.781228,1000.05127,Inactive,4,2,1,1,1,2,7.4896183,146.962311,1016.27789,45.10382,0.7839016,0.296272576,0.6236277,0.214649454,2,2,1,1,12,2,1,167.601257,2.96350884,119.921173,0.000320379,Active,Active,Inactive,Inactive,Inactive,Active,2,1,1,1,2019-07-20 12:30:05+08:00,2019-07-20 12:30:05 PM,2019-07-20 12:30:05,0
2019-07-20 04:30:10+00:00,0.0,724.8807,1,3,2,1,142.527557,9.289157,199.871826,2.33595,Inactive,Inactive,Inactive,Inactive,2,2,1,1,2,1,2,1,1,1,8.535406,257.455658,143.158966,1.19085729,0.000512443,737.5112,1,1,1,1,99,1,1,0,87.41348,0.7825085,999.6283,Inactive,4,2,1,1,1,2,7.491541,146.5778,1016.27789,44.0271721,0.7839016,0.316638917,0.62644434,0.212663725,2,2,1,1,12,2,1,167.601257,2.96350884,119.921173,0.000320379,Active,Active,Inactive,Inactive,Inactive,Active,2,1,1,1,2019-07-20 12:30:10+08:00,2019-07-20 12:30:10 PM,2019-07-20 12:30:10,0
2019-07-20 04:30:20+00:00,0.0,721.0732,1,3,2,1,142.527557,9.293323000000001,201.614975,2.3367188,Inactive,Inactive,Inactive,Inactive,2,2,1,1,2,1,2,1,1,1,8.552052,258.505676,143.158966,1.19085729,0.000512443,741.837036,1,1,1,1,99,1,1,0,86.900795,0.78007555,998.551636,Inactive,4,2,1,1,1,2,7.488016,145.398621,1016.27789,42.2583961,0.7839016,0.316382736,0.622091353,0.213048071,2,2,1,1,12,2,1,167.1847,2.97952771,119.680855,0.000320379,Active,Active,Inactive,Inactive,Inactive,Active,2,1,1,1,2019-07-20 12:30:20+08:00,2019-07-20 12:30:20 PM,2019-07-20 12:30:20,0
2019-07-20 04:30:21+00:00,0.0,720.759155,1,3,2,1,142.527557,9.295886,201.973846,2.3367188,Inactive,Inactive,Inactive,Inactive,2,2,1,1,2,1,2,1,1,1,8.552052,258.505676,143.158966,1.19085729,0.000512443,741.9572,1,1,1,1,99,1,1,0,86.900795,0.7798194,998.62854,Inactive,4,2,1,1,1,2,7.488016,145.398621,1016.27789,42.2583961,0.7839016,0.318688363,0.622091353,0.213048071,2,2,1,1,12,2,1,167.1847,2.97952771,119.680855,0.000320379,Active,Active,Inactive,Inactive,Inactive,Active,2,1,1,1,2019-07-20 12:30:21+08:00,2019-07-20 12:30:21 PM,2019-07-20 12:30:21,0
2019-07-20 04:30:24+00:00,0.0,719.189,1,3,2,1,142.527557,9.296206,202.3071,2.33454013,Inactive,Inactive,Inactive,Inactive,2,2,1,1,2,1,2,1,1,1,8.54248,258.505676,143.158966,1.19085729,0.000512443,742.558044,1,1,1,1,99,1,1,0,86.67008,0.7798194,998.474731,Inactive,4,2,1,1,1,2,7.484171,145.398621,1016.27789,41.48936,0.7839016,0.336108625,0.622091353,0.213944837,2,2,1,1,12,2,1,167.1847,2.97952771,119.680855,0.000320379,Active,Active,Inactive,Inactive,Inactive,Active,2,1,1,1,2019-07-20 12:30:24+08:00,2019-07-20 12:30:24 PM,2019-07-20 12:30:24,0
2019-07-20 04:30:36+00:00,0.0,713.968445,1,3,2,1,142.527557,9.288516,203.896439,2.333515,Inactive,Inactive,Inactive,Inactive,2,2,1,1,2,1,2,1,1,1,8.556213,259.837372,143.158966,1.19085729,0.000512443,747.564758,1,1,1,1,99,1,1,0,85.54217,0.779563367,995.4371,Inactive,4,2,1,1,1,2,7.486414,144.475769,1016.27789,39.5283279,0.781978965,0.3156142,0.622091353,0.212984011,2,2,1,1,12,2,1,167.0405,2.97952771,119.472572,0.000320379,Active,Active,Inactive,Inactive,Inactive,Active,2,1,1,1,2019-07-20 12:30:36+08:00,2019-07-20 12:30:36 PM,2019-07-20 12:30:36,0
2019-07-20 04:30:43+00:00,0.0,711.181458,1,3,2,1,142.527557,9.294604,205.101257,2.3364625,Inactive,Inactive,Inactive,Inactive,2,2,1,1,2,1,2,1,1,1,8.556213,260.6825,143.158966,1.19085729,0.000512443,751.449951,1,1,1,1,99,1,1,0,85.1063843,0.783789,994.821838,Inactive,4,2,1,1,1,2,7.48833656,142.860809,1016.27789,38.7977448,0.7847988,0.326886147,0.622091353,0.214905664,2,2,1,1,12,2,1,166.864273,2.97952771,119.456551,0.000320379,Active,Active,Inactive,Inactive,Inactive,Active,2,1,1,1,2019-07-20 12:30:43+08:00,2019-07-20 12:30:43 PM,2019-07-20 12:30:43,0
